y,error y,ampl mVpp,error ampl
10,0.1,3,2
9,0.1,112,2
8,0.1,114,1
7,0.1,77,1
6,0.1,144,2
5,0.1,214,4
4,0.1,203,3
3,0.1,66.2,0.2
2,0.1,143,3
1,0.1,215,7
0,0.1,194,6
-1,0.1,2.4,0.4
-2,0.1,125,3
-3,0.1,218,6
-4,0.1,195,5
-5,0.1,64,4
-6,0.1,72,1
-7,0.1,145,1
-8,0.1,118,2
-9,0.1,16,2
9.5,0.1,68,2
8.5,0.1,105,3
7.5,0.1,98,2
6.5,0.1,107,2
5.5,0.1,202,2
4.5,0.1,230,4
3.5,0.1,142,2
2.5,0.1,3,1
1.5,0.1,200,3
0.5,0.1,246,4
-0.5,0.1,148,1
-1.5,0.1,3.2,1
-2.5,0.1,210,4
-3.5,0.1,228,2
-4.5,0.1,149,1
-5.5,0.1,6.2,1
-6.5,0.1,107,1
-7.5,0.1,145,3
-8.5,0.1,22,4
